EmpID,GeographyKey,FirstName,LastName,Company,Address,City,County,State,Zip Code,Phone,Email,LivingWage,AveStatePay,GrossPay2013,GrossPay2014,GrossPay2015
13154,916,Cheryl,Methot,Kutters Div Of Valiquet Inc,800 Yukon Dr,Fairbanks,Fairbanks North Star,AK,99709,907-456-2496,cheryl@methot.com,31014,"$33,062.00 ","$34,186.11 ","$35,792.86 ","$37,833.05 "
13178,916,Josie,Parat,Magnet Schultz Of America Inc,9309 Glacier Hwy #-201a,Juneau,Juneau,AK,99801,907-789-4156,josie@parat.com,31014,"$33,062.00 ","$34,715.10 ","$36,728.58 ","$38,418.09 "
13275,916,Tiffani,Gorter,Flm Associates Inc,560 E 34th Ave #-301,Anchorage,Anchorage,AK,99503,907-561-5862,tiffani@gorter.com,31014,"$33,062.00 ","$34,318.36 ","$35,382.23 ","$36,479.07 "
13488,916,Abram,Sprain,Realtors Assn Metro Pitts,1400 W Benson Blvd #-400,Anchorage,Anchorage,AK,99503,907-277-6810,abram@sprain.com,31014,"$33,062.00 ","$34,582.85 ","$35,793.25 ","$37,081.81 "
13624,916,Sierra,Beckley,Thomas G Ferguson Assocs Inc,550 W 7th Ave #-1250,Anchorage,Anchorage,AK,99501,907-279-8718,sierra@beckley.com,31014,"$33,062.00 ","$34,979.60 ","$37,008.41 ","$38,710.80 "
13717,916,Aileen,Kettman,Sandra K Law,717 K St,Anchorage,Anchorage,AK,99501,907-277-5807,aileen@kettman.com,31014,"$33,062.00 ","$34,582.85 ","$36,623.24 ","$37,831.81 "
13890,916,Ignacio,Kindla,B C Enterprises,3584 Airport Way,Fairbanks,Fairbanks North Star,AK,99709,907-479-9044,ignacio@kindla.com,31014,"$33,062.00 ","$34,086.92 ","$35,109.53 ","$36,373.47 "
13925,916,Ursula,Kober,"Boehm, Gabrielle Esq",900 W 5th Ave #-600,Anchorage,Anchorage,AK,99501,907-276-2679,ursula@kober.com,31014,"$33,062.00 ","$34,582.85 ","$35,689.50 ","$37,081.39 "
13997,916,Kaitlyn,Oberdick,Environmental Plus Inc,Small Boat Harbor,Seward,Kenai Peninsula,AK,99664,907-224-8753,kaitlyn@oberdick.com,31014,"$33,062.00 ","$34,516.73 ","$36,069.98 ","$37,909.55 "
14079,916,Deanna,Rodea,Mercantile Bank Of Joplin,733 W 4th Ave,Anchorage,Anchorage,AK,99501,907-258-9254,deanna@rodea.com,31014,"$33,062.00 ","$34,847.35 ","$36,729.10 ","$38,639.02 "
14110,916,Rose,Abramowski,Fairfield Service Co,310 K St #-601,Anchorage,Anchorage,AK,99501,907-258-1220,rose@abramowski.com,31014,"$33,062.00 ","$34,483.67 ","$36,380.27 ","$38,199.28 "
14142,916,Lessie,Stoglin,Gall Agency Of Sublette,313 W Harvard Ave,Anchorage,Anchorage,AK,99501,907-276-6891,lessie@stoglin.com,31014,"$33,062.00 ","$34,682.04 ","$35,861.23 ","$37,582.57 "
14466,916,Bertha,Ciubal,Franciscan Glass Co,1500 W 33rd Ave,Anchorage,Anchorage,AK,99503,907-277-1666,bertha@ciubal.com,31014,"$33,062.00 ","$34,715.10 ","$35,964.84 ","$37,691.16 "
14500,916,Sheena,Turrubiartes,"Abramson, Richard B Esq",1900 E 3rd Ave,Anchorage,Anchorage,AK,99501,907-272-8137,sheena@turrubiartes.com,31014,"$33,062.00 ","$34,913.47 ","$36,240.18 ","$38,160.91 "
14520,916,Javier,Goethals,"Nemeth, Victor A Md",3825 Mountain View Dr,Anchorage,Anchorage,AK,99508,907-276-9600,javier@goethals.com,31014,"$33,062.00 ","$34,318.36 ","$35,897.00 ","$37,871.34 "
14612,916,Dana,Avrett,Nabors Industries Inc,146 Allakaket,Allakaket,Yukon Koyukuk,AK,99720,907-968-3087,dana@avrett.com,31014,"$33,062.00 ","$34,053.86 ","$35,211.69 ","$36,303.25 "
14817,916,Katie,Flechsig,"Scroggins, Joel C",723 1st Ave,Fairbanks,Fairbanks North Star,AK,99701,907-452-2741,katie@flechsig.com,31014,"$33,062.00 ","$34,781.22 ","$36,798.53 ","$38,822.45 "
14933,916,Norris,Gesselli,Woodmans,1410 Richardson Hwy,North Pole,Fairbanks North Star,AK,99705,907-488-8586,norris@gesselli.com,31014,"$33,062.00 ","$34,086.92 ","$35,859.44 ","$36,971.08 "
15302,916,Lupe,Zeleny,"Herman, Kenneth B Esq",1400 W Benson Blvd,Anchorage,Anchorage,AK,99503,907-276-6733,lupe@zeleny.com,31014,"$33,062.00 ","$34,979.60 ","$36,798.53 ","$38,638.46 "
15405,916,Adrian,Mikami,Rai Marble & Granite Imprt Inc,3429 Tanglewood Pl,Anchorage,Anchorage,AK,99517,907-248-4921,adrian@mikami.com,31014,"$33,062.00 ","$34,219.17 ","$35,759.03 ","$37,153.63 "
15472,916,Edmund,Crovo,St Cyril Jerusalem Ch,7437 Old Seward Hwy,Anchorage,Anchorage,AK,99518,907-522-8125,edmund@crovo.com,31014,"$33,062.00 ","$34,814.29 ","$36,241.67 ","$37,836.31 "
15598,916,Rey,Czapski,Plums Restaurant & Bar,3300 Providence Dr #-106,Anchorage,Anchorage,AK,99508,907-561-4284,rey@czapski.com,31014,"$33,062.00 ","$34,219.17 ","$35,314.18 ","$36,550.18 "
15759,916,Tyrone,Chapelle,Hubbard Hall Inc,1117 E 35th Ave,Anchorage,Anchorage,AK,99508,907-277-3974,tyrone@chapelle.com,31014,"$33,062.00 ","$34,615.91 ","$36,415.94 ","$37,836.16 "
15941,916,Demarcus,Crolley,"Walker, Fredric S Cpa",717 K St,Anchorage,Anchorage,AK,99501,907-277-0811,demarcus@crolley.com,31014,"$33,062.00 ","$34,814.29 ","$36,694.26 ","$38,785.83 "
16314,916,Christine,Hennington,American Liba Co,Box #-24249,Anchorage,Anchorage,AK,99524,907-272-0383,christine@hennington.com,31014,"$33,062.00 ","$34,748.16 ","$36,624.56 ","$37,833.17 "
16576,916,Edmund,Mcgann,Choice Forwarding Inc,2534 Spenard Rd,Anchorage,Anchorage,AK,99503,907-562-3903,edmund@mcgann.com,31014,"$33,062.00 ","$34,648.98 ","$36,485.37 ","$38,601.52 "
16674,916,Suzan,Witman,"Weisel, Jessica M Esq",100 Cushman St #-500,Fairbanks,Fairbanks North Star,AK,99701,907-452-1660,suzan@witman.com,31014,"$33,062.00 ","$34,119.98 ","$35,348.30 ","$37,186.42 "
16818,916,Rusty,Foxwell,Qed Sales Inc,626 2nd St #-303,Fairbanks,Fairbanks North Star,AK,99701,907-452-6455,rusty@foxwell.com,31014,"$33,062.00 ","$34,086.92 ","$36,132.14 ","$38,191.67 "
16821,916,Adela,Rumps,"Gillespie, Guy T Iii",2805 Dawson St,Anchorage,Anchorage,AK,99503,907-272-5607,adela@rumps.com,31014,"$33,062.00 ","$34,516.73 ","$36,208.05 ","$37,475.33 "
16850,916,Emory,Hardnette,"Sanson, Ralph Esq",550 W 7th Ave #-1900,Anchorage,Anchorage,AK,99501,907-277-6856,emory@hardnette.com,31014,"$33,062.00 ","$34,483.67 ","$36,138.88 ","$37,945.83 "
12072,764,Chong,Levecke,A & M Building Supply Co,2701 Leeman Ferry Rd Sw,Huntsville,Madison,AL,35801,256-536-3934,chong@levecke.com,17103,"$23,606.00 ","$24,833.51 ","$25,826.85 ","$27,273.16 "
12086,764,Araceli,Wollert,Madison Plastic Surg Assoc Ltd,2017 Morris Ave,Birmingham,Jefferson,AL,35203,205-254-3891,araceli@wollert.com,17103,"$23,606.00 ","$24,668.27 ","$25,951.02 ","$26,963.11 "
12234,764,Jose,Quattrini,"Guinn, Edward L Esq",3641 Cloverdale Rd,Florence,Lauderdale,AL,35633,256-767-4180,jose@quattrini.com,17103,"$23,606.00 ","$24,951.54 ","$26,448.63 ","$27,718.17 "
12243,764,Michael,Smarsh,Pyramid Film & Video,930 Forrest Ave,Gadsden,Etowah,AL,35901,256-549-8966,michael@smarsh.com,17103,"$23,606.00 ","$24,621.06 ","$25,581.28 ","$26,630.11 "
12549,764,Arnold,Fogelman,Kci Koblecell Inc,Southtrust #-2500,Birmingham,Jefferson,AL,35203,205-324-4802,arnold@fogelman.com,17103,"$23,606.00 ","$24,361.39 ","$25,335.85 ","$26,273.27 "
12731,764,Helene,Balick,Jerry Parks Equine Ins Inc,200 Clinton Ave W #-900,Huntsville,Madison,AL,35801,256-533-6527,helene@balick.com,17103,"$23,606.00 ","$24,904.33 ","$25,651.46 ","$26,549.26 "
12732,764,Nelly,Ehmke,Ankeny Towing Inc,2001 Park Pl,Birmingham,Jefferson,AL,35203,205-251-6621,nelly@ehmke.com,17103,"$23,606.00 ","$25,022.36 ","$25,848.10 ","$27,295.59 "
12761,764,Stella,Cadrette,Barstad Construction,1011 S Plant St,Sheffield,Colbert,AL,35660,256-381-6728,stella@cadrette.com,17103,"$23,606.00 ","$24,597.45 ","$25,605.95 ","$27,091.09 "
13545,764,Gussie,Yafaie,General Patton Memorial Museum,729 30th St St,Birmingham,Jefferson,AL,35233,205-251-9864,gussie@yafaie.com,17103,"$23,606.00 ","$24,621.06 ","$25,458.17 ","$26,247.38 "
14087,764,Jamie,Loerwald,Prairie Advocate,1415 2nd Ave Nw,Cullman,Cullman,AL,35055,256-737-2966,jamie@loerwald.com,17103,"$23,606.00 ","$24,739.09 ","$25,703.91 ","$26,912.00 "
14150,764,Garth,Kieler,"Mclean, Julie Johnson Esq",3596 Lorna Ridge Dr,Birmingham,Jefferson,AL,35216,205-823-7267,garth@kieler.com,17103,"$23,606.00 ","$24,621.06 ","$25,433.55 ","$26,476.33 "
14792,764,Merle,Alkins,Alphagraphics Prt Shops Future,2129 1st Ave N,Birmingham,Jefferson,AL,35203,205-328-4449,merle@alkins.com,17103,"$23,606.00 ","$24,550.24 ","$25,949.60 ","$27,117.34 "
14992,764,Gisela,Coltharp,Superior Die Set Corp,1009 Dallas St Ne,Huntsville,Madison,AL,35801,256-539-9006,gisela@coltharp.com,17103,"$23,606.00 ","$24,715.48 ","$25,901.83 ","$27,300.52 "
15075,764,Ezekiel,Karau,Lake Forest Floral Design,Highway 278e E,Cullman,Cullman,AL,35055,256-737-6112,ezekiel@karau.com,17103,"$23,606.00 ","$24,668.27 ","$25,975.69 ","$27,430.33 "
15142,764,Emily,Hibbard,Wyandotte Industries Inc,2216 14th St,Tuscaloosa,Tuscaloosa,AL,35401,205-345-8576,emily@hibbard.com,17103,"$23,606.00 ","$24,762.69 ","$26,025.59 ","$27,222.77 "
15305,764,Oren,Damario,"Pollack, Harvey A",1801 39th St,Tuscaloosa,Tuscaloosa,AL,35401,205-345-4958,oren@damario.com,17103,"$23,606.00 ","$24,880.72 ","$26,298.93 ","$27,140.49 "
15339,764,Kyle,Tootle,Specialty Oil Company,2619 University Blvd,Tuscaloosa,Tuscaloosa,AL,35401,205-345-0674,kyle@tootle.com,17103,"$23,606.00 ","$24,668.27 ","$26,025.02 ","$27,274.23 "
15572,764,Haley,Seipel,United Insurance Consultants,2900 Am South Harbert Plaz,Birmingham,Jefferson,AL,35203,205-324-7184,haley@seipel.com,17103,"$23,606.00 ","$24,314.18 ","$25,043.61 ","$26,095.44 "
15768,764,Gwendolyn,Mcdougall,Cogent Little Falls,123 20th St N,Birmingham,Jefferson,AL,35203,205-458-8588,gwendolyn@mcdougall.com,17103,"$23,606.00 ","$25,022.36 ","$26,448.63 ","$27,876.86 "
16134,764,Noel,Hagadone,Chamber Of Commerce,200 Randolph Ave Se,Huntsville,Madison,AL,35801,256-539-2324,noel@hagadone.com,17103,"$23,606.00 ","$24,927.94 ","$26,348.83 ","$27,613.57 "
16162,764,Elvira,Silverhorn,Tryon Daily Bulletin,505 20th St N,Birmingham,Jefferson,AL,35203,205-581-9465,elvira@silverhorn.com,17103,"$23,606.00 ","$24,715.48 ","$25,926.54 ","$27,404.35 "
16196,764,Andrea,Redler,Days Inn,2010 Brookwood Medical Ctr Dr,Birmingham,Jefferson,AL,35209,205-877-3888,andrea@redler.com,17103,"$23,606.00 ","$24,927.94 ","$26,124.48 ","$27,117.21 "
16215,764,Carmen,Maclin,"Ridge, George E Esq",2325 Pansy St Sw,Huntsville,Madison,AL,35801,256-533-7229,carmen@maclin.com,17103,"$23,606.00 ","$24,809.91 ","$26,298.50 ","$27,376.74 "
16591,764,Nestor,Friedrichs,"Ford, Thomas A Esq",2810 3rd Ave S,Birmingham,Jefferson,AL,35233,205-323-0367,nestor@friedrichs.com,17103,"$23,606.00 ","$24,668.27 ","$26,123.70 ","$27,325.39 "
16608,764,Jeannine,Feuss,Bellevue Downtown Association,100 Oxmoor Blvd,Birmingham,Jefferson,AL,35209,205-942-9487,jeannine@feuss.com,17103,"$23,606.00 ","$24,857.12 ","$26,298.83 ","$27,666.37 "
16641,764,Cindy,Colledge,"Hanna, Jerry F Esq",1744 Oxmoor Rd,Birmingham,Jefferson,AL,35209,205-871-6786,cindy@colledge.com,17103,"$23,606.00 ","$24,998.75 ","$26,448.68 ","$27,612.42 "
16656,764,Rachelle,Walkins,Tri County Assurance Svc Inc,211 22nd St N,Birmingham,Jefferson,AL,35203,205-320-9686,rachelle@walkins.com,17103,"$23,606.00 ","$24,998.75 ","$26,273.69 ","$27,377.19 "
16685,764,Demarcus,Youngman,Palo Alto Orthopedic Co,3500 Blue Lake Dr,Birmingham,Jefferson,AL,35243,205-967-1067,demarcus@youngman.com,17103,"$23,606.00 ","$24,526.63 ","$25,752.97 ","$27,117.87 "
16734,764,Werner,Charle,Wylr Y96 Fm,420 20th St N #-2300,Birmingham,Jefferson,AL,35203,205-323-2000,werner@charle.com,17103,"$23,606.00 ","$24,739.09 ","$25,976.04 ","$26,885.20 "
16766,764,Latrice,Heuer,Good Humor Bryers Ice Cream,416 N Seminary St,Florence,Lauderdale,AL,35630,256-767-8643,latrice@heuer.com,17103,"$23,606.00 ","$24,597.45 ","$25,974.91 ","$27,325.60 "
16771,764,Tamika,Backhaus,Quicksign & Banner,1325 Mcfarland Blvd #-10,Northport,Tuscaloosa,AL,35476,205-333-8755,tamika@backhaus.com,17103,"$23,606.00 ","$24,573.85 ","$25,630.52 ","$26,732.63 "
16815,764,Gerry,Buesing,Inn Of Fayetteville,211 22nd St N,Birmingham,Jefferson,AL,35203,205-320-8002,gerry@buesing.com,17103,"$23,606.00 ","$24,503.03 ","$25,556.66 ","$26,553.37 "
16914,764,Melba,Esworthy,Barnstable Patriot Newspaper,113 5th St Se,Cullman,Cullman,AL,35055,256-739-9044,melba@esworthy.com,17103,"$23,606.00 ","$24,550.24 ","$25,384.95 ","$26,730.35 "
16958,764,Alan,Denning,Emco Fittings Corp,2700 Highway 280 S #-300,Birmingham,Jefferson,AL,35223,205-871-9323,alan@denning.com,17103,"$23,606.00 ","$24,809.91 ","$25,727.87 ","$26,834.17 "
16975,764,Charlie,Qadir,Rubble Tile Distributors,1431 Leighton Ave,Anniston,Calhoun,AL,36207,256-236-3529,charlie@qadir.com,17103,"$23,606.00 ","$24,762.69 ","$26,248.46 ","$27,403.39 "
17003,764,Lucinda,Salyers,World Class Travel,418 1st Ave Se,Cullman,Cullman,AL,35055,256-734-4000,lucinda@salyers.com,17103,"$23,606.00 ","$24,597.45 ","$25,925.71 ","$27,299.78 "
12032,902,India,Vigario,L D Progressive Label Co Inc,2450 Jackson County Rd 36,Newport,Jackson,AR,72112,870-523-1776,india@vigario.com,16947,"$22,883.00 ","$23,844.09 ","$24,964.76 ","$26,063.21 "
12044,902,Darla,Awe,Roadrunner Motor Inn North,3400 Tcby Towe,Little Rock,Pulaski,AR,72201,501-375-2106,darla@awe.com,16947,"$22,883.00 ","$24,050.03 ","$25,372.78 ","$26,489.19 "
12143,902,Tabatha,Rabeck,Hart Publications,6711 Young Rd,Little Rock,Pulaski,AR,72209,501-565-7281,tabatha@rabeck.com,16947,"$22,883.00 ","$23,569.49 ","$24,936.52 ","$25,809.30 "
12172,902,Darron,Pieczynski,Valley Petroleum,102 Chippewa Ct,Hot Springs National Park,Garland,AR,71901,501-623-5466,darron@pieczynski.com,16947,"$22,883.00 ","$24,050.03 ","$25,493.03 ","$26,283.32 "
12182,902,Chelsey,Castagnola,Network Systems,515 2nd St,Newport,Jackson,AR,72112,870-523-6226,chelsey@castagnola.com,16947,"$22,883.00 ","$24,233.10 ","$24,960.09 ","$25,758.81 "
12188,902,Malinda,Nocito,Hudson Berlind Corp,307 Main St,Newport,Jackson,AR,72112,870-523-8855,malinda@nocito.com,16947,"$22,883.00 ","$23,798.32 ","$24,916.84 ","$26,386.93 "
12193,902,Benedict,Addiego,Jays Trophy Shop,111 Center St,Little Rock,Pulaski,AR,72201,501-376-8982,benedict@addiego.com,16947,"$22,883.00 ","$23,798.32 ","$24,678.86 ","$25,986.84 "
12201,902,Elva,Bouse,North Carolina Propn Gas Assn,111 Center St,Little Rock,Pulaski,AR,72201,501-376-3030,elva@bouse.com,16947,"$22,883.00 ","$23,706.79 ","$25,034.37 ","$26,236.02 "
12338,902,Lauren,Martinson,Just Chairs & Tables,221 N 3rd St,Rogers,Benton,AR,72756,479-636-2453,lauren@martinson.com,16947,"$22,883.00 ","$24,187.33 ","$25,275.76 ","$26,438.45 "
12522,902,Kaitlyn,Linsay,Contour Roll Co,6001 Lindsey Rd,Little Rock,Pulaski,AR,72206,501-490-7918,kaitlyn@linsay.com,16947,"$22,883.00 ","$24,187.33 ","$25,469.26 ","$26,233.34 "
12648,902,Emanuel,Nuetzman,Proimage,2100 Wheeler Ave,Fort Smith,Sebastian,AR,72901,479-782-6277,emanuel@nuetzman.com,16947,"$22,883.00 ","$23,752.55 ","$24,916.43 ","$25,788.50 "
12769,902,Emile,Schattschneid,Rivergulf Agency Inc,1816 Wheeler Ave,Fort Smith,Sebastian,AR,72901,479-785-2727,emile@schattschneid.com,16947,"$22,883.00 ","$23,661.02 ","$24,465.50 ","$25,811.10 "
12819,902,Bridgette,Stieg,Shaheen Capiello Stein,200 E 11th Ave,Pine Bluff,Jefferson,AR,71601,870-534-6248,bridgette@stieg.com,16947,"$22,883.00 ","$23,958.50 ","$24,821.01 ","$25,615.28 "
12874,902,Jarrod,Herek,By The Bay Realty,310 Main St,Crossett,Ashley,AR,71635,870-364-6239,jarrod@herek.com,16947,"$22,883.00 ","$23,866.97 ","$24,678.45 ","$25,665.58 "
12881,902,Ernesto,Hurtgen,Wave Printing Inc,920 W 2nd St,Little Rock,Pulaski,AR,72201,501-376-9671,ernesto@hurtgen.com,16947,"$22,883.00 ","$23,775.44 ","$25,130.64 ","$26,387.17 "
12933,902,Ashlee,Harkenreader,Tony Kinser Body Shop,111 Center St,Little Rock,Pulaski,AR,72201,501-372-9763,ashlee@harkenreader.com,16947,"$22,883.00 ","$23,569.49 ","$24,276.57 ","$25,490.40 "
13095,902,Thanh,Lohmiller,Microband Corp,1300 Bond St,Little Rock,Pulaski,AR,72202,501-376-2212,thanh@lohmiller.com,16947,"$22,883.00 ","$23,912.74 ","$25,323.59 ","$26,361.85 "
13099,902,Guadalupe,Talbot,Gunlocke Company Incorporated,3201 Wheeler Ave,Fort Smith,Sebastian,AR,72901,479-782-6973,guadalupe@talbot.com,16947,"$22,883.00 ","$23,615.26 ","$24,512.64 ","$25,542.17 "
13100,902,Dianne,Laremont,Gardena Court,3226 Shelby Dr,Jonesboro,Craighead,AR,72401,870-935-8958,dianne@laremont.com,16947,"$22,883.00 ","$23,752.55 ","$24,750.16 ","$25,962.92 "
13101,902,Dianne,Chafetz,City Sound Inc,146 Washington Nw,Camden,Ouachita,AR,71701,870-836-9654,dianne@chafetz.com,16947,"$22,883.00 ","$23,615.26 ","$24,394.56 ","$25,419.13 "
13308,902,Nola,Dibrell,"Ryan, William J Jr",Hwy 70e E,Carlisle,Lonoke,AR,72024,870-552-7597,nola@dibrell.com,16947,"$22,883.00 ","$23,958.50 ","$24,892.88 ","$25,913.49 "
13454,902,Sandi,Nici,Columbia Foreign Car Care Inc,33 Daugherty Hill Rd,Conway,Faulkner,AR,72032,501-336-4518,sandi@nici.com,16947,"$22,883.00 ","$24,255.98 ","$25,590.06 ","$27,125.46 "
13469,902,Miranda,Schlup,"Clack, James D Esq",Hwy 65n N,Marshall,Searcy,AR,72650,870-448-7156,miranda@schlup.com,16947,"$22,883.00 ","$24,255.98 ","$25,493.03 ","$26,946.14 "
13538,902,Micah,Baldelli,Crockett Inn,3606 E Highland Dr,Jonesboro,Craighead,AR,72401,870-932-9740,micah@baldelli.com,16947,"$22,883.00 ","$23,821.20 ","$25,202.83 ","$26,135.34 "
13763,902,Tamara,Rei,"Ruff, Arlen M Esq",1508 Scott St,Little Rock,Pulaski,AR,72202,501-375-1551,tamara@rei.com,16947,"$22,883.00 ","$23,981.38 ","$25,420.27 ","$26,411.66 "
13791,902,Patrica,Luers,Broadway 1 Hour Photo & Camera,Rr 1,Sparkman,Dallas,AR,71763,870-678-5796,patrica@luers.com,16947,"$22,883.00 ","$23,729.67 ","$25,011.07 ","$25,961.49 "
13797,902,Susanne,Martenez,R A K Assocs,913 Oak St,Conway,Faulkner,AR,72032,501-327-4610,susanne@martenez.com,16947,"$22,883.00 ","$23,729.67 ","$24,797.51 ","$26,062.18 "
13802,902,Belle,Folkerts,Omnibus La Cubana,913 Oak St,Conway,Faulkner,AR,72032,501-327-7326,belle@folkerts.com,16947,"$22,883.00 ","$23,615.26 ","$24,819.63 ","$25,812.42 "
13806,902,Leonel,Schmunk,Jack Housman Inc,913 Oak St,Conway,Faulkner,AR,72032,501-327-3002,leonel@schmunk.com,16947,"$22,883.00 ","$24,141.57 ","$25,421.07 ","$26,463.33 "
13966,902,Jeanne,Verucchi,"Di Piazza, Barbara Esq",400 W Capitol Ave #-1900,Little Rock,Pulaski,AR,72201,501-374-8186,jeanne@verucchi.com,16947,"$22,883.00 ","$23,569.49 ","$24,512.27 ","$25,664.35 "
14261,902,Jamey,Mick,"Presutti, Robert A Esq",7825 Fourche Rd,Little Rock,Pulaski,AR,72209,501-568-6688,jamey@mick.com,16947,"$22,883.00 ","$24,233.10 ","$25,057.02 ","$26,084.36 "
14484,902,Jewell,Kinseth,Future Resource,415 Main St,Little Rock,Pulaski,AR,72201,501-376-6693,jewell@kinseth.com,16947,"$22,883.00 ","$24,004.27 ","$25,276.49 ","$26,666.70 "
14593,902,Soledad,Standfield,Columbus Surgery Center,Hwy 369n N,Nashville,Howard,AR,71852,870-286-4530,soledad@standfield.com,16947,"$22,883.00 ","$24,004.27 ","$25,084.46 ","$26,338.68 "
14767,902,Alfred,Lueckenhoff,Coastal Beverage Supply,2110 N Church St,Jonesboro,Craighead,AR,72401,870-932-4406,alfred@lueckenhoff.com,16947,"$22,883.00 ","$23,592.37 ","$24,441.70 ","$25,321.60 "
15084,902,Judson,Ehrismann,"Osterman, Dennis R Esq",422 N Main St,Benton,Saline,AR,72015,501-778-3916,judson@ehrismann.com,16947,"$22,883.00 ","$23,729.67 ","$24,536.48 ","$25,861.45 "
15104,902,Rickey,Wenig,Frazier Signs Inc,Hwy 61n N,Luxora,Mississippi,AR,72358,870-658-1206,rickey@wenig.com,16947,"$22,883.00 ","$24,050.03 ","$25,372.78 ","$26,463.81 "
15106,902,Abraham,Rewis,Bnk 1 Wv Na Huntington Bnkng,207 S Main St,Brinkley,Monroe,AR,72021,870-734-4284,abraham@rewis.com,16947,"$22,883.00 ","$23,821.20 ","$25,155.19 ","$25,985.31 "
15383,902,Morgan,Muschik,Carver County Title Guaranty,333 W Court St,Paragould,Greene,AR,72450,870-239-8137,morgan@muschik.com,16947,"$22,883.00 ","$23,706.79 ","$24,560.23 ","$25,812.80 "
15648,902,Carlton,Wilen,"Tomalas, Roger P Esq",301 Maple Ave,Mena,Polk,AR,71953,479-394-1346,carlton@wilen.com,16947,"$22,883.00 ","$23,912.74 ","$25,156.20 ","$26,137.29 "
15777,902,Charmaine,Dullum,Ktvt Tv Channel 11,806 S Izard St,Little Rock,Pulaski,AR,72201,501-374-7543,charmaine@dullum.com,16947,"$22,883.00 ","$23,706.79 ","$24,797.30 ","$25,590.81 "
15817,902,Queen,Lipszyc,Pinocchios,400 N Walton Blvd,Bentonville,Benton,AR,72712,479-273-9865,queen@lipszyc.com,16947,"$22,883.00 ","$23,638.14 ","$24,418.20 ","$25,199.58 "
16051,902,Valeria,Ley,Overton Jones And Carter Pa,2228 Cottondale Ln,Little Rock,Pulaski,AR,72202,501-664-7543,valeria@ley.com,16947,"$22,883.00 ","$24,050.03 ","$25,493.03 ","$26,334.31 "
16065,902,Thaddeus,Metz,Source Northwest Inc,400 W Capitol Ave #-2900,Little Rock,Pulaski,AR,72201,501-375-4852,thaddeus@metz.com,16947,"$22,883.00 ","$24,233.10 ","$25,396.29 ","$26,615.31 "
16066,902,Olin,Chiodini,Mountain Maintenance,7525 Young Rd,North Little Rock,Pulaski,AR,72118,501-771-3158,olin@chiodini.com,16947,"$22,883.00 ","$23,683.91 ","$25,033.89 ","$26,485.85 "
16108,902,Leslie,Franzen,Malarkey Roofing Company,1611 Main St,North Little Rock,Pulaski,AR,72114,501-376-6952,leslie@franzen.com,16947,"$22,883.00 ","$24,004.27 ","$25,444.52 ","$26,233.30 "
16158,902,Andrew,Heid,California Coml Asphlt Corp,112 W Center St,Springdale,Washington,AR,72764,479-443-3434,andrew@heid.com,16947,"$22,883.00 ","$23,729.67 ","$24,655.13 ","$25,739.95 "
